International Category Name,Constant Dollar Amount
Administrative Costs,0.081848073
Agriculture,0.146993946
Economic Growth,0.499213468
Education,0.003921966
Governance,28.006840921
Health and Population,0.112649721
Humanitarian,2.606695277
Infrastructure,1.143115405
Other,0.056682616
