,Fiscal Year,Constant Dollar Amount
0,2015,122254314
1,2016,153808487
2,2017,213773509
3,2018,204581970
4,2019,194302821
5,2020,260008618
6,2021,257754849
7,2022,10382236738
8,2023,16401761260
9,2024,5873963395
