,Fiscal Year,Constant Dollar Amount
0,2015,1903604891
1,2016,1268867176
2,2017,1192987745
3,2018,872425891
4,2019,1157122915
5,2020,1156859922
6,2021,613443606
7,2022,937651757
8,2023,820514465
9,2024,708518931
